quarter,revenue_twd_bn,gross_margin_pct,opex_ratio_pct,tax_rate_pct,shares_bn,non_op_ratio_pct,reported_eps,source
# 說明:台積電財報以「台幣」計,故 revenue_twd_bn 為十億台幣。以下為近8季近似值(範例),請以財報實際數字替換。
# 欄位:季度,營收(十億台幣),毛利率%,營業費用率%,稅率%,股數(十億股),業外比%,財報實際EPS(台幣),來源
2023Q1,508.6,56.3,10.9,11.0,25.93,2.0,7.98,範例:TSMC 2023Q1 財報(請替換)
2023Q2,480.8,54.1,11.2,12.0,25.93,2.2,7.01,範例:TSMC 2023Q2 財報(請替換)
2023Q3,546.7,54.3,10.7,13.0,25.93,1.8,8.14,範例:TSMC 2023Q3 財報(請替換)
2023Q4,625.5,53.0,10.4,13.5,25.93,1.5,9.21,範例:TSMC 2023Q4 財報(請替換)
2024Q1,592.6,53.1,10.2,13.9,25.93,2.5,8.70,範例:TSMC 2024Q1 財報(請替換)
2024Q2,673.5,53.2,10.0,14.0,25.93,2.0,9.56,範例:TSMC 2024Q2 財報(請替換)
2024Q3,759.7,57.8,10.3,13.8,25.93,1.8,12.54,範例:TSMC 2024Q3 財報(請替換)
2024Q4,868.5,59.0,10.1,14.5,25.93,1.6,14.45,範例:TSMC 2024Q4 財報(請替換)
